path,file_kind,language,confidence,evidence,errors
/usr/bin/[,elf,C,0.451,"heuristic:ELF executable/library with no stronger language markers (via python); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gnu_debugaltlink', '.gnu_debuglink', '.got', '.got.plt']... (via readelf); elf_needed:DT_NEEDED: ['libc.so.6'] (via readelf); elf_symbol:nm -D symbols: 61 (via nm)",
/usr/bin/addpart,elf,C,0.451,"heuristic:ELF executable/library with no stronger language markers (via python); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gnu_debugaltlink', '.gnu_debuglink', '.got', '.init']... (via readelf); elf_needed:DT_NEEDED: ['libc.so.6'] (via readelf); elf_symbol:nm -D symbols: 50 (via nm)",
/usr/bin/apt,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got', '.init']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 50 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/apt-cache,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 127 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/apt-cdrom,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 70 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/apt-config,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got', '.init']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 60 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/apt-get,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 139 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/apt-key,script,Shell,0.990,shebang:/bin/sh (via python),
/usr/bin/apt-mark,elf,C++,0.988,"elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); token:c++ EH personality (b'__gxx_personality_v0') (via python_scan); token:libstdc++ symbol versions (b'GLIBCXX_') (via python_scan); token:c++ ABI symbol versions (b'CXXABI_') (via python_scan); token:links libstdc++ (b'libstdc++.so.6') (via python_scan); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gcc_except_table', '.gnu_debugaltlink', '.gnu_debuglink', '.got']... (via readelf); elf_needed:DT_NEEDED: ['libapt-pkg.so.6.0', 'libapt-private.so.0.0', 'libc.so.6', 'libgcc_s.so.1', 'libstdc++.so.6'] (via readelf); elf_symbol:nm -D symbols: 112 (via nm); elf_symbol:Itanium-style mangling prefix _Z observed (via nm/readelf)",
/usr/bin/arch,elf,C,0.451,"heuristic:ELF executable/library with no stronger language markers (via python); magic:ELF (via python); elf_section:sections: ['.bss', '.data', '.data.rel.ro', '.dynamic', '.eh_frame', '.eh_frame_hdr', '.fini', '.fini_array', '.gnu_debugaltlink', '.gnu_debuglink', '.got', '.got.plt']... (via readelf); elf_needed:DT_NEEDED: ['libc.so.6'] (via readelf); elf_symbol:nm -D symbols: 56 (via nm)",
